side,entry_ts,exit_ts,entry,exit,notional,pnl,reason
SHORT,2025-11-17 14:40:00+00:00,2025-11-17 16:50:00+00:00,3177.26,3132.01,8157.390758171148,106.45701747227503,TRAIL
LONG,2025-11-18 03:05:00+00:00,2025-11-18 04:20:00+00:00,2969.4,2986.2,9523.947298073663,42.422651812012674,TRAIL
SHORT,2025-11-18 15:30:00+00:00,2025-11-18 16:15:00+00:00,3099.6,3146.54,21432.687072445224,-350.4882144789617,STOP
LONG,2025-11-19 05:45:00+00:00,2025-11-19 08:50:00+00:00,2999.02,3075.96,25920.632909108306,633.491307200582,TRAIL
LONG,2025-11-19 09:05:00+00:00,2025-11-19 11:25:00+00:00,3062.01,3086.08,24967.60187717439,166.18768035654946,TRAIL
LONG,2025-11-19 15:40:00+00:00,2025-11-19 15:45:00+00:00,3001.88,2982.71,44492.43220801152,-337.34902939099175,STOP
LONG,2025-11-20 14:10:00+00:00,2025-11-20 15:10:00+00:00,2968.59,2971.85,30410.946017463717,-3.11695319295179,TRAIL
LONG,2025-11-20 16:15:00+00:00,2025-11-20 16:40:00+00:00,2899.61,2867.29,32186.34243257605,-397.1678392354547,STOP
LONG,2025-11-21 07:35:00+00:00,2025-11-21 11:35:00+00:00,2719.67,2694.48,6900.342425149731,-72.15409187666032,TIME
LONG,2025-11-21 12:25:00+00:00,2025-11-21 14:15:00+00:00,2638.2,2721.72,12286.437754883038,373.9863115825713,TRAIL
SHORT,2025-11-21 17:10:00+00:00,2025-11-21 17:30:00+00:00,2783.36,2799.41,40334.609802485626,-281.1270540174813,STOP
SHORT,2025-11-22 22:55:00+00:00,2025-11-23 00:20:00+00:00,2788.01,2786.18,24260.72916757781,-13.179010826537805,TRAIL
SHORT,2025-11-23 12:20:00+00:00,2025-11-23 13:40:00+00:00,2836.08,2838.47,30045.465093794246,-61.38943821858287,STOP
LONG,2025-11-23 17:10:00+00:00,2025-11-23 17:45:00+00:00,2795.67,2789.27,28849.532226288175,-100.62373247034824,STOP
LONG,2025-11-23 23:25:00+00:00,2025-11-24 00:00:00+00:00,2805.0,2787.53,45682.85479778098,-339.1690249135704,STOP
SHORT,2025-11-24 02:25:00+00:00,2025-11-24 03:15:00+00:00,2852.71,2858.77,18777.45475397137,-62.44574813983648,STOP
LONG,2025-11-24 04:25:00+00:00,2025-11-24 06:05:00+00:00,2813.64,2839.72,18937.68708144721,152.7053715119488,TRAIL
LONG,2025-11-24 09:30:00+00:00,2025-11-24 11:05:00+00:00,2795.36,2794.04,25421.681632061118,-42.50321537936805,TRAIL
SHORT,2025-11-24 17:40:00+00:00,2025-11-24 17:55:00+00:00,2920.98,2938.62,44266.94066297619,-320.6118400674292,STOP
SHORT,2025-11-25 12:15:00+00:00,2025-11-25 12:20:00+00:00,2919.3,2927.01,93662.45598853682,-359.91004265194664,STOP
SHORT,2025-11-25 12:25:00+00:00,2025-11-25 15:05:00+00:00,2919.53,2884.39,23393.796641789595,253.6684259005267,TRAIL
SHORT,2025-11-25 16:30:00+00:00,2025-11-25 17:10:00+00:00,2925.09,2947.02,39332.19331796041,-342.25708572572546,STOP
LONG,2025-11-25 19:25:00+00:00,2025-11-25 22:00:00+00:00,2883.62,2910.47,17362.15342264683,140.731126737674,TRAIL
SHORT,2025-11-26 17:50:00+00:00,2025-11-26 18:10:00+00:00,3015.45,3037.29,34118.63243182314,-288.20164787022117,STOP
LONG,2025-11-27 22:45:00+00:00,2025-11-28 01:10:00+00:00,3011.9,2997.66,52587.75786474079,-311.5864549573692,STOP
SHORT,2025-11-28 08:25:00+00:00,2025-11-28 08:45:00+00:00,3016.75,3025.25,87374.32395014464,-351.1829461374969,STOP
SHORT,2025-11-28 09:00:00+00:00,2025-11-28 12:05:00+00:00,3057.06,3041.87,11076.343839462981,41.777837360651645,TRAIL
SHORT,2025-11-28 13:50:00+00:00,2025-11-28 14:25:00+00:00,3068.0,3090.98,26067.51534440636,-226.64963689960683,STOP
LONG,2025-11-29 06:35:00+00:00,2025-11-29 10:35:00+00:00,3001.69,3002.25,38547.06942857641,-39.069396351723036,TIME
SHORT,2025-11-29 18:45:00+00:00,2025-11-29 22:45:00+00:00,2988.81,2987.22,64996.45393691787,-43.3979053244183,TIME
LONG,2025-11-30 03:00:00+00:00,2025-11-30 03:15:00+00:00,2990.16,2977.94,91088.13810956583,-481.33575391614363,STOP
SHORT,2025-11-30 03:45:00+00:00,2025-11-30 06:20:00+00:00,2999.71,2993.65,39652.96460475562,32.57123866596504,TRAIL
SHORT,2025-11-30 12:45:00+00:00,2025-11-30 13:15:00+00:00,3024.49,3036.14,56991.187457016305,-288.0448717426129,STOP
SHORT,2025-11-30 13:25:00+00:00,2025-11-30 13:50:00+00:00,3045.37,3046.61,42032.13711798939,-67.5632889384036,STOP
LONG,2025-11-30 23:40:00+00:00,2025-11-30 23:50:00+00:00,2997.82,2990.73,78326.66719600919,-279.12748868234684,STOP
LONG,2025-12-01 15:35:00+00:00,2025-12-01 19:35:00+00:00,2742.65,2740.7,22940.247556850052,-43.82882489576727,TIME
SHORT,2025-12-02 14:50:00+00:00,2025-12-02 15:00:00+00:00,2887.08,2923.56,18215.31663232311,-252.15800712450385,STOP
SHORT,2025-12-02 15:25:00+00:00,2025-12-02 15:40:00+00:00,2958.59,2997.9,14757.22205136198,-213.90160386706805,STOP
SHORT,2025-12-02 15:55:00+00:00,2025-12-02 19:55:00+00:00,3005.55,3014.61,17164.052449238712,-72.36762668589348,TIME
LONG,2025-12-03 14:05:00+00:00,2025-12-03 14:50:00+00:00,3046.05,3086.28,11936.531560793246,143.230549183038,TRAIL
SHORT,2025-12-04 15:20:00+00:00,2025-12-04 15:35:00+00:00,3175.1,3218.0,32292.736818111658,-475.3326909225268,STOP
SHORT,2025-12-04 15:40:00+00:00,2025-12-04 16:20:00+00:00,3213.38,3220.66,12275.284563513773,-42.55701932488384,STOP
LONG,2025-12-04 16:55:00+00:00,2025-12-04 17:35:00+00:00,3167.16,3142.75,32824.46860082985,-292.22298341343327,STOP
LONG,2025-12-04 19:25:00+00:00,2025-12-04 21:45:00+00:00,3092.04,3127.12,6870.408457785495,69.65531720822561,TRAIL
LONG,2025-12-05 13:50:00+00:00,2025-12-05 15:50:00+00:00,3101.95,3112.18,11624.31126349277,24.36393733440135,TRAIL
LONG,2025-12-05 16:15:00+00:00,2025-12-05 16:35:00+00:00,3064.44,3030.21,18299.00769525234,-226.23730983749385,STOP
